index,trial_url,Study (disease • registry),Disease Category,Disease Area,Method,Enrollment (target),Countries (per CMN page),In US?,Start year,Last-updated year,Gene-editing method,Gene-editing category,Phase 1,Phase 2,Phase 3,Countries (per CMN page),,China,#ERROR!
15,https://crisprmedicinenews.com/clinical-trial/urinary-tract-infections-uti-nct05488340/,"A Phase 2, Double-blind, Randomized, Active-controlled Evaluation of the Safety, Tolerability, Pharmacokinetics and Efficacy of LBP-EC01 in the Treatment of Acute Uncomplicated Urinary Tract Infection Caused by Drug Resistant E. Coli",Urinary Tract Infections,Bacterial Diseases,Mixed,318,United States,Yes,2022,2025,CRISPR-Cas3,CRISPR-Cas,0,1,0,United States,,,
16,https://crisprmedicinenews.com/clinical-trial/familial-hypercholesterolemia-nct06458010/,Clinical Exploration Trial of YOLT-101 in the Treatment of Familial Hypercholesterolemia (FH),Familial Hypercholesterolemia,Cardiovascular Diseases,Mixed,20,China,No,2024,2025,Base editing,Base editing,1,0,0,China,,1,
17,https://crisprmedicinenews.com/clinical-trial/familial-hypercholesterolemia-fh-nct05398029/,"Open-label, Phase 1b, Single-ascending Dose and Optional re Dosing Study to Evaluate the Safety of VERVE-101 Administered to Patients With Heterozygous Familial Hypercholesterolemia, Atherosclerotic Cardiovascular Disease, and Uncontrolled Hypercholesterolemia",Familial Hypercholesterolemia,Cardiovascular Diseases,Mixed,44,"New Zealand, United Kingdom",No,2022,2025,Base editors,Base editing,1,0,0,"New Zealand, United Kingdom",,,
18,https://crisprmedicinenews.com/clinical-trial/familial-hypercholesterolemia-fh-nct06461702/,Clinical Exploration Trial of YOLT-101 in the Treatment of Familial Hypercholesterolemia (FH),Familial Hypercholesterolemia,Cardiovascular Diseases,Mixed,13,China,No,2024,2025,Base editor,Base editing,1,0,0,China,,1,
19,https://crisprmedicinenews.com/clinical-trial/familial-hypercholesterolemia-hefh-or-premature-coronary-artery-disease-cad-nct06164730/,"Open-label, Phase 1b, Single Ascending Dose Study to Evaluate the Safety of VERVE-102 Administered to Patients With Heterozygous Familial Hypercholesterolemia or Premature Coronary Artery Disease Who Require Additional Lowering of Low-density Lipoprotein Cholesterol","Familial Hypercholesterolemia, HeFH, or Premature Coronary Artery Disease, CAD",Cardiovascular Diseases,Mixed,36,"Canada, United Kingdom",No,2024,2025,Base editor,Base editing,1,0,0,"Canada, United Kingdom",,,
20,https://crisprmedicinenews.com/clinical-trial/refractory-hypercholesterolemia-nct06451770/,A Phase 1b Single Ascending Dose Study to Evaluate the Safety of VERVE-201 in Patients With Refractory Hyperlipidemia,Refractory Hypercholesterolemia,Cardiovascular Diseases,Mixed,36,,Yes,2024,2025,Base editing,Base editing,1,0,0,,,,
21,https://crisprmedicinenews.com/clinical-trial/acute-myeloid-leukaemia-aml-nct04106076/,"Phase I, Open Label Dose-escalation Study to Evaluate the Safety, Expansion, Persistence and Clinical Activity of Multiple Infusions of UCART123 (Allogeneic Engineered T-cells Expressing Anti-CD123 Chimeric Antigen Receptor) in Patients With Adverse Genetic Risk Acute Myeloid Leukaemia",Acute Myeloid Leukaemia,Haematological malignancies (blood cancers),Ex-vivo,0,,Yes,2019,2025,TALENs,Other,1,0,0,,,,
22,https://crisprmedicinenews.com/clinical-trial/acute-myeloid-leukaemia-aml-nct04849910/,"A First-In-Human, Open-Label, Multicenter Study of VOR33 in Patients With Acute Myeloid Leukemia Who Are at High-Risk for Leukemia Relapse Following Hematopoietic Cell Transplantation",Acute Myeloid Leukaemia,Haematological malignancies (blood cancers),Ex-vivo,18,"United States, Canada",Yes,2021,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,"United States, Canada",,,
23,https://crisprmedicinenews.com/clinical-trial/acute-myeloid-leukaemia-aml-nct05066165/,"Phase 1/2a, Single Dose Study Investigating NTLA-5001 in Subjects With Acute Myeloid Leukemia",Acute Myeloid Leukaemia,Haematological malignancies (blood cancers),Ex-vivo,6,"United States, United Kingdom",Yes,2021,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,"United States, United Kingdom",,,
24,https://crisprmedicinenews.com/clinical-trial/b-cell-acute-lymphoblastic-leukaemia-b-all-nct03232619/,Safety and Efficacy Evaluation of CD19-CART Treatment for Refractory or Recurrent ALL,B-cell Acute Lymphoblastic Leukaemia,Haematological malignancies (blood cancers),Ex-vivo,4,China,No,2018,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
